latitude,longitude,address
33.2668773,126.5724856,제주특별자치도 서귀포시 중산간동로7894번길 18-5
33.2669744,126.2953758,제주특별자치도 서귀포시 대정읍 평화로 225
33.267458,126.3769409,제주특별자치도 서귀포시 존제로 24 
33.2679407,126.5207794,제주특별자치도 서귀포시 서호호근로238번길 10
33.2691705,126.6253505,제주특별자치도 서귀포시 남원읍 하례중앙로 95
33.2701323,126.2029762,제주특별자치도 서귀포시 대정읍 서삼중로 81
33.2705011,126.5659668,제주특별자치도 서귀포시 동홍로239번길 43-12
33.2707785,126.5892962,제주특별자치도 서귀포시 토평동 1442-1
33.2710308,126.2008663,제주특별자치도 서귀포시 대정읍 무릉중앙로 8
33.2715375,126.699638,제주특별자치도 서귀포시 남원읍 태위로510번길 31-16 
33.2727131,126.6544135,제주특별자치도 서귀포시 남원읍 태위로 54-9
33.273153,126.5968534,제주특별자치도 서귀포시 상효동 941-7
33.2731972,126.6231004,제주특별자치도 서귀포시 남원읍 하례로 292
33.2734589,126.198965,제주특별자치도 서귀포시 대정읍 서삼중로 128
33.2737892,126.6572171,제주특별자치도 서귀포시 남원읍 위미해안로 4-3
33.274063,126.5640098,제주특별자치도 서귀포시 동홍로303번길 30 
33.2742951,126.2800556,제주특별자치도 서귀포시 대정읍 구억리 993-1
33.2747415,126.6607855,제주특별자치도 서귀포시 태위로126
33.2748435,126.2352671,제주특별자치도 서귀포시 대정읍 중산간서로 2868 
33.2751495,126.6989518,제주특별자치도 서귀포시 남원읍 태위로 483
33.2751532,126.568336,제주특별자치도 서귀포시 동홍로302번길 6
33.275208,126.6570064,제주특별자치도 서귀포시 남원읍 위미항구로 8
33.2753062,126.6576751,제주특별자치도 서귀포시 남원읍 태위로 95-1
33.2753897,126.668602,제주특별자치도 서귀포시 남원읍 태위로 197
33.275488,126.6408176,제주특별자치도 서귀포시 남원읍 신례로 96
33.2755403,126.6879109,제주특별자치도 서귀포시 남원읍 태위로 381-5
33.2756828,126.7033792,제주특별자치도 서귀포시 남원읍 태위로 527
33.2757251,126.6863091,제주특별자치도 서귀포시 남원읍 남원체육관로 1-7
33.2757666,126.6994554,제주특별자치도 서귀포시 남원읍 태위로 485
33.2758032,126.7052386,제주특별자치도 서귀포시 남원읍 태위로 545
33.2764169,126.7103547,제주특별자치도 서귀포시 남원읍 태위로 594-2
33.2774939,126.1742677,제주특별자치도 서귀포시 대정읍 도원로 37
33.2776083,126.1747448,제주특별자치도 서귀포시 대정읍 도원로 43
33.277617,126.395062,제주특별자치도 서귀포시 상예로381
33.277686,126.3619012,제주특별자치도 서귀포시 안덕면 한창로110번길 61
33.2778061,126.7161593,제주특별자치도 서귀포시 남원읍 남원회관로 27
33.2778135,126.7215514,제주특별자치도 서귀포시 남원읍 남태해안로 155
33.2781034,126.7040994,제주특별자치도 서귀포시 남원읍 태위로 551-27
33.2781337,126.7052541,제주특별자치도 서귀포시 남원읍 태위로 551-28
33.2784207,126.3036429,제주특별자치도 서귀포시 안덕면 서광남로 50
33.2784541,126.2731705,제주특별자치도 서귀포시 대정읍 에듀시티로240번길 9
33.2785554,126.7102687,제주특별자치도 서귀포시 남원읍 태위로603번길 22-1
33.2786802,126.1918728,제주특별자치도 서귀포시 대정읍 도원로 217 
33.2786802,126.1918728,제주특별자치도 서귀포시 대정읍 도원로 217
33.2788009,126.7213531,제주특별자치도 서귀포시 남원읍 남원리 84-2
33.2789777,126.1794187,제주특별자치도 서귀포시 대정읍 도원로 89
33.2789783,126.2732827,제주특별자치도 서귀포시 대정읍 에듀시티로 238
33.2790393,126.2743286,제주특별자치도 서귀포시 대정읍 에듀시티로239번길 8
33.2790999,126.2757618,제주특별자치도 서귀포시 대정읍 글로벌에듀로 404
33.279144,126.7211247,제주특별자치도 서귀포시 남원읍 태위로700번길 4-1
33.2792324,126.7205215,제주특별자치도 서귀포시 남원읍 태위로 690-3
33.279322,126.2721792,제주특별자치도 서귀포시 대정읍 에듀시티로228번길 3
33.2793358,126.5814955,제주특별자치도 서귀포시 516로277번길 45 
33.2795878,126.7219682,제주특별자치도 서귀포시 남원읍 태위로 708-1
33.2798026,126.715271,제주특별자치도 서귀포시 남원읍 남원체육관로 280
33.2800165,126.7183232,제주특별자치도 서귀포시 남원읍 남원리 180
33.2805052,126.663567,제주특별자치도 서귀포시 남원읍 위미상원북로 34
33.2807297,126.2782438,제주특별자치도 서귀포시 대정읍 글로벌에듀로 370
33.2814852,126.7084388,제주특별자치도 서귀포시 남원읍 남원체육관로221번길 23
33.2820609,126.6210125,제주특별자치도 서귀포시 남원읍 하례리 984-4
33.2826763,126.2697981,제주특별자치도 서귀포시 대정읍 에듀시티로204번길 19
33.2827845,126.629108,제주특별자치도 서귀포시 남원읍 중산간동로7141번길 6
